day,status,count
2009-04-09T22:09:08.216000+00:00,Resolved,0
2009-04-09T22:09:08.216000+00:00,In Progress,0
2009-04-09T22:09:08.216000+00:00,Patch Available,0
2009-04-09T22:09:08.216000+00:00,Reopened,0
2009-04-09T22:09:08.216000+00:00,Closed,0
2009-04-09T22:09:08.216000+00:00,Open,0
2009-04-10T22:09:08.216000+00:00,Resolved,0
2009-04-10T22:09:08.216000+00:00,In Progress,0
2009-04-10T22:09:08.216000+00:00,Patch Available,0
2009-04-10T22:09:08.216000+00:00,Reopened,0
2009-04-10T22:09:08.216000+00:00,Closed,0
2009-04-10T22:09:08.216000+00:00,Open,3
2009-04-11T22:09:08.216000+00:00,Resolved,1
2009-04-11T22:09:08.216000+00:00,In Progress,0
2009-04-11T22:09:08.216000+00:00,Patch Available,0
2009-04-11T22:09:08.216000+00:00,Reopened,0
2009-04-11T22:09:08.216000+00:00,Closed,0
2009-04-11T22:09:08.216000+00:00,Open,6
2009-04-12T22:09:08.216000+00:00,Resolved,1
2009-04-12T22:09:08.216000+00:00,In Progress,0
2009-04-12T22:09:08.216000+00:00,Patch Available,1
2009-04-12T22:09:08.216000+00:00,Reopened,0
2009-04-12T22:09:08.216000+00:00,Closed,0
2009-04-12T22:09:08.216000+00:00,Open,5
2009-04-13T22:09:08.216000+00:00,Resolved,2
2009-04-13T22:09:08.216000+00:00,In Progress,0
2009-04-13T22:09:08.216000+00:00,Patch Available,1
2009-04-13T22:09:08.216000+00:00,Reopened,0
2009-04-13T22:09:08.216000+00:00,Closed,0
2009-04-13T22:09:08.216000+00:00,Open,7
2009-04-14T22:09:08.216000+00:00,Resolved,3
2009-04-14T22:09:08.216000+00:00,In Progress,0
2009-04-14T22:09:08.216000+00:00,Patch Available,1
2009-04-14T22:09:08.216000+00:00,Reopened,0
2009-04-14T22:09:08.216000+00:00,Closed,0
2009-04-14T22:09:08.216000+00:00,Open,10
2009-04-15T22:09:08.216000+00:00,Resolved,8
2009-04-15T22:09:08.216000+00:00,In Progress,0
2009-04-15T22:09:08.216000+00:00,Patch Available,1
2009-04-15T22:09:08.216000+00:00,Reopened,0
2009-04-15T22:09:08.216000+00:00,Closed,0
2009-04-15T22:09:08.216000+00:00,Open,6
2009-04-16T22:09:08.216000+00:00,Resolved,8
2009-04-16T22:09:08.216000+00:00,In Progress,0
2009-04-16T22:09:08.216000+00:00,Patch Available,2
2009-04-16T22:09:08.216000+00:00,Reopened,0
2009-04-16T22:09:08.216000+00:00,Closed,0
2009-04-16T22:09:08.216000+00:00,Open,5
2009-04-17T22:09:08.216000+00:00,Resolved,8
2009-04-17T22:09:08.216000+00:00,In Progress,0
2009-04-17T22:09:08.216000+00:00,Patch Available,2
2009-04-17T22:09:08.216000+00:00,Reopened,0
2009-04-17T22:09:08.216000+00:00,Closed,0
2009-04-17T22:09:08.216000+00:00,Open,5
2009-04-18T22:09:08.216000+00:00,Resolved,8
2009-04-18T22:09:08.216000+00:00,In Progress,0
2009-04-18T22:09:08.216000+00:00,Patch Available,2
2009-04-18T22:09:08.216000+00:00,Reopened,0
2009-04-18T22:09:08.216000+00:00,Closed,0
2009-04-18T22:09:08.216000+00:00,Open,5
2009-04-19T22:09:08.216000+00:00,Resolved,8
2009-04-19T22:09:08.216000+00:00,In Progress,0
2009-04-19T22:09:08.216000+00:00,Patch Available,2
2009-04-19T22:09:08.216000+00:00,Reopened,0
2009-04-19T22:09:08.216000+00:00,Closed,0
2009-04-19T22:09:08.216000+00:00,Open,5
2009-04-20T22:09:08.216000+00:00,Resolved,8
2009-04-20T22:09:08.216000+00:00,In Progress,0
2009-04-20T22:09:08.216000+00:00,Patch Available,2
2009-04-20T22:09:08.216000+00:00,Reopened,0
2009-04-20T22:09:08.216000+00:00,Closed,0
2009-04-20T22:09:08.216000+00:00,Open,5
2009-04-21T22:09:08.216000+00:00,Resolved,9
2009-04-21T22:09:08.216000+00:00,In Progress,0
2009-04-21T22:09:08.216000+00:00,Patch Available,2
2009-04-21T22:09:08.216000+00:00,Reopened,0
2009-04-21T22:09:08.216000+00:00,Closed,0
2009-04-21T22:09:08.216000+00:00,Open,5
2009-04-22T22:09:08.216000+00:00,Resolved,10
2009-04-22T22:09:08.216000+00:00,In Progress,1
2009-04-22T22:09:08.216000+00:00,Patch Available,1
2009-04-22T22:09:08.216000+00:00,Reopened,0
2009-04-22T22:09:08.216000+00:00,Closed,0
2009-04-22T22:09:08.216000+00:00,Open,4
2009-04-23T22:09:08.216000+00:00,Resolved,10
2009-04-23T22:09:08.216000+00:00,In Progress,0
2009-04-23T22:09:08.216000+00:00,Patch Available,1
2009-04-23T22:09:08.216000+00:00,Reopened,0
